brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
108006.0,for_sale,379900.0,3,2,0.32,763622.0,Wethersfield,Connecticut,06109,1421.0,2016-03-23
21439.0,for_sale,349900.0,7,3,0.17,654424.0,New Britain,Connecticut,06051,3277.0,2019-06-17
107951.0,for_sale,154900.0,,,0.39,415578.0,Glastonbury,Connecticut,06033,,2019-12-24
51868.0,for_sale,125900.0,2,1,0.4,159710.0,Colchester,Connecticut,06415,1152.0,
79217.0,for_sale,250000.0,2,2,0.13,142684.0,Hartford,Connecticut,06106,3725.0,2015-11-10
33714.0,for_sale,139900.0,4,2,,871460.0,Middletown,Connecticut,06457,1393.0,2005-09-30
23991.0,for_sale,1595000.0,7,7,3.16,523452.0,Wallingford,Connecticut,06492,9944.0,
10585.0,for_sale,199900.0,2,2,,1750500.0,West Hartford,Connecticut,06119,1417.0,2002-06-10
10585.0,for_sale,424900.0,4,3,0.29,792976.0,Newington,Connecticut,06111,2372.0,
22611.0,for_sale,219900.0,4,2,0.24,191683.0,New Britain,Connecticut,06053,1152.0,2015-03-03
22611.0,for_sale,219900.0,4,1,0.16,1645227.0,Hartford,Connecticut,06114,1544.0,2018-10-01
10555.0,for_sale,900000.0,2,2,0.42,553979.0,New Britain,Connecticut,06051,11032.0,
51868.0,for_sale,120000.0,3,2,0.14,593002.0,New Britain,Connecticut,06052,1152.0,
51496.0,for_sale,190000.0,2,2,,1759184.0,Cromwell,Connecticut,06416,1368.0,2008-03-25
33714.0,for_sale,219000.0,3,2,0.2,750583.0,Berlin,Connecticut,06037,1376.0,2009-03-20
51868.0,for_sale,325000.0,3,2,0.71,471403.0,Glastonbury,Connecticut,06033,1459.0,2015-03-10
16710.0,for_sale,419900.0,2,2,1.77,415543.0,Haddam,Connecticut,06438,1781.0,2013-09-03
22546.0,for_sale,289000.0,4,2,0.53,893270.0,Berlin,Connecticut,06037,1239.0,1996-11-27
30174.0,for_sale,329000.0,3,2,0.31,1104817.0,Berlin,Connecticut,06037,2641.0,
22611.0,for_sale,305000.0,2,1,0.46,694602.0,Rocky Hill,Connecticut,06067,716.0,
50920.0,for_sale,349900.0,3,2,0.37,11050.0,Cromwell,Connecticut,06416,1397.0,2004-03-29
33714.0,for_sale,215000.0,3,1,0.13,653223.0,Middletown,Connecticut,06457,1360.0,2000-06-15
89021.0,for_sale,209900.0,3,2,0.14,606095.0,Hartford,Connecticut,06106,1344.0,2018-12-10
22611.0,for_sale,389900.0,4,3,0.56,374628.0,Rocky Hill,Connecticut,06067,2307.0,1987-01-16
33503.0,for_sale,335000.0,13,5,0.18,577356.0,Hartford,Connecticut,06114,4469.0,
10580.0,for_sale,287000.0,4,2,0.36,504944.0,Meriden,Connecticut,06450,1835.0,
23208.0,for_sale,185000.0,,,9.76,390047.0,East Hampton,Connecticut,06480,,2020-06-02
82212.0,for_sale,85000.0,3,2,0.12,956231.0,New Britain,Connecticut,06053,1485.0,1993-03-23
30174.0,for_sale,179900.0,4,1,0.25,1725166.0,Berlin,Connecticut,06037,1462.0,1988-09-02
83019.0,for_sale,169900.0,2,2,,1171074.0,New Britain,Connecticut,06053,1024.0,2019-08-14
